model_slug,prompt_strategy,seed,examples_evaluated,successful_requests,failed_requests,valid_json_requests,schema_valid_requests,truncated_requests,rejected_prediction_reasons,finish_reasons
qwen3-1.7b,one-shot,2401,1000,1000,0,992,407,8,"{""invalid_label"": 180, ""out_of_range_indices"": 14, ""text_mismatch"": 1520}","{""length"": 8, ""stop"": 992}"
qwen3-1.7b,one-shot,42,1000,1000,0,974,558,26,"{""invalid_label"": 118, ""out_of_range_indices"": 8, ""text_mismatch"": 1028}","{""length"": 26, ""stop"": 974}"
qwen3-1.7b,three-shot,1771,1000,1000,0,998,158,2,"{""invalid_label"": 248, ""out_of_range_indices"": 13, ""overlapping_prediction"": 2, ""text_mismatch"": 2221}","{""length"": 2, ""stop"": 998}"
qwen3-1.7b,three-shot,2401,1000,1000,0,995,244,5,"{""invalid_label"": 274, ""out_of_range_indices"": 6, ""overlapping_prediction"": 2, ""text_mismatch"": 1882}","{""length"": 5, ""stop"": 995}"
qwen3-1.7b,three-shot,42,1000,1000,0,981,265,19,"{""invalid_label"": 331, ""out_of_range_indices"": 17, ""text_mismatch"": 1891}","{""length"": 19, ""stop"": 981}"
qwen3-1.7b,zero-shot,fixed,1000,1000,0,995,442,6,"{""invalid_label"": 127, ""out_of_range_indices"": 25, ""text_mismatch"": 1094}","{""length"": 6, ""stop"": 994}"
qwen3-14b,one-shot,1771,1000,1000,0,1000,748,0,"{""invalid_label"": 28, ""overlapping_prediction"": 1, ""text_mismatch"": 368}","{""stop"": 1000}"
qwen3-14b,one-shot,2401,1000,1000,0,1000,759,0,"{""invalid_label"": 39, ""text_mismatch"": 344}","{""stop"": 1000}"
qwen3-14b,one-shot,42,1000,1000,0,1000,851,0,"{""invalid_label"": 37, ""missing_fields"": 1, ""text_mismatch"": 196}","{""stop"": 1000}"
qwen3-14b,three-shot,1771,1000,1000,0,1000,751,0,"{""invalid_label"": 34, ""overlapping_prediction"": 1, ""text_mismatch"": 374}","{""stop"": 1000}"
qwen3-14b,three-shot,2401,1000,1000,0,1000,788,0,"{""invalid_label"": 47, ""overlapping_prediction"": 3, ""text_mismatch"": 258}","{""stop"": 1000}"
qwen3-14b,three-shot,42,1000,1000,0,1000,826,0,"{""invalid_label"": 52, ""missing_fields"": 1, ""overlapping_prediction"": 1, ""text_mismatch"": 222}","{""stop"": 1000}"
qwen3-14b,zero-shot,fixed,1000,1000,0,1000,791,0,"{""invalid_label"": 28, ""out_of_range_indices"": 2, ""text_mismatch"": 275}","{""stop"": 1000}"
qwen3-4b,one-shot,1771,1000,1000,0,997,287,3,"{""duplicate_prediction"": 4, ""invalid_label"": 24, ""missing_fields"": 23, ""out_of_range_indices"": 12, ""text_mismatch"": 2231}","{""length"": 3, ""stop"": 997}"
qwen3-4b,one-shot,2401,1000,1000,0,999,248,1,"{""duplicate_prediction"": 2, ""invalid_label"": 21, ""missing_fields"": 5, ""out_of_range_indices"": 15, ""text_mismatch"": 2139}","{""length"": 1, ""stop"": 999}"
qwen3-4b,one-shot,42,1000,1000,0,998,487,2,"{""duplicate_prediction"": 1, ""invalid_label"": 4, ""non_integer_indices"": 2, ""out_of_range_indices"": 12, ""text_mismatch"": 1160}","{""length"": 2, ""stop"": 998}"
qwen3-4b,three-shot,1771,1000,1000,0,995,307,5,"{""duplicate_prediction"": 5, ""invalid_label"": 26, ""missing_fields"": 12, ""non_integer_indices"": 1, ""out_of_range_indices"": 5, ""overlapping_prediction"": 7, ""text_mismatch"": 1749}","{""length"": 5, ""stop"": 995}"
qwen3-4b,three-shot,2401,1000,1000,0,1000,215,0,"{""duplicate_prediction"": 2, ""invalid_label"": 46, ""out_of_range_indices"": 8, ""overlapping_prediction"": 1, ""text_mismatch"": 2228}","{""stop"": 1000}"
qwen3-4b,three-shot,42,1000,1000,0,998,405,2,"{""duplicate_prediction"": 1, ""invalid_label"": 19, ""missing_fields"": 1, ""non_integer_indices"": 3, ""out_of_range_indices"": 7, ""overlapping_prediction"": 2, ""text_mismatch"": 1374}","{""length"": 2, ""stop"": 998}"
qwen3-4b,zero-shot,fixed,1000,1000,0,998,554,2,"{""duplicate_prediction"": 1, ""invalid_label"": 25, ""missing_fields"": 14, ""non_integer_indices"": 1, ""not_an_object"": 2, ""out_of_range_indices"": 9, ""overlapping_prediction"": 1, ""text_mismatch"": 988}","{""length"": 2, ""stop"": 998}"
qwen3-8b,one-shot,1771,1000,1000,0,997,715,3,"{""duplicate_prediction"": 1, ""invalid_label"": 15, ""missing_fields"": 1, ""out_of_range_indices"": 3, ""overlapping_prediction"": 6, ""text_mismatch"": 459}","{""length"": 3, ""stop"": 997}"
qwen3-8b,one-shot,2401,1000,1000,0,999,678,1,"{""duplicate_prediction"": 1, ""invalid_label"": 12, ""overlapping_prediction"": 7, ""text_mismatch"": 528}","{""length"": 1, ""stop"": 999}"
qwen3-8b,one-shot,42,1000,1000,0,998,825,3,"{""duplicate_prediction"": 2, ""invalid_label"": 9, ""overlapping_prediction"": 2, ""text_mismatch"": 284}","{""length"": 3, ""stop"": 997}"
qwen3-8b,three-shot,1771,1000,1000,0,999,742,1,"{""duplicate_prediction"": 1, ""invalid_label"": 13, ""overlapping_prediction"": 5, ""text_mismatch"": 438}","{""length"": 1, ""stop"": 999}"
qwen3-8b,three-shot,2401,1000,1000,0,996,706,4,"{""duplicate_prediction"": 3, ""invalid_label"": 19, ""overlapping_prediction"": 3, ""text_mismatch"": 472}","{""length"": 4, ""stop"": 996}"
qwen3-8b,three-shot,42,1000,1000,0,1000,748,0,"{""invalid_label"": 8, ""out_of_range_indices"": 1, ""overlapping_prediction"": 1, ""text_mismatch"": 383}","{""stop"": 1000}"
qwen3-8b,zero-shot,fixed,1000,1000,0,998,804,2,"{""duplicate_prediction"": 2, ""invalid_label"": 4, ""overlapping_prediction"": 1, ""text_mismatch"": 285}","{""length"": 2, ""stop"": 998}"
qwen3.5-2b,one-shot,1771,1000,1000,0,992,182,8,"{""invalid_label"": 14, ""out_of_range_indices"": 90, ""text_mismatch"": 2013}","{""length"": 8, ""stop"": 992}"
qwen3.5-2b,one-shot,2401,1000,1000,0,994,308,6,"{""invalid_label"": 8, ""out_of_range_indices"": 5, ""text_mismatch"": 1175}","{""length"": 6, ""stop"": 994}"
qwen3.5-2b,one-shot,42,1000,1000,0,995,502,5,"{""invalid_label"": 2, ""out_of_range_indices"": 23, ""text_mismatch"": 916}","{""length"": 5, ""stop"": 995}"
qwen3.5-2b,three-shot,1771,1000,1000,0,965,272,35,"{""invalid_label"": 1, ""out_of_range_indices"": 125, ""text_mismatch"": 2349}","{""length"": 35, ""stop"": 965}"
qwen3.5-2b,three-shot,2401,1000,1000,0,973,267,27,"{""invalid_label"": 5, ""out_of_range_indices"": 56, ""text_mismatch"": 2411}","{""length"": 27, ""stop"": 973}"
qwen3.5-2b,three-shot,42,1000,1000,0,985,706,15,"{""duplicate_prediction"": 1, ""invalid_label"": 2, ""out_of_range_indices"": 5, ""text_mismatch"": 556}","{""length"": 15, ""stop"": 985}"
qwen3.5-2b,zero-shot,fixed,1000,1000,0,996,318,4,"{""invalid_label"": 4, ""out_of_range_indices"": 25, ""text_mismatch"": 1215}","{""length"": 4, ""stop"": 996}"
trendyol-llm-7b-chat-v4.1.0,one-shot,1771,1000,1000,0,878,87,123,"{""invalid_label"": 345, ""missing_fields"": 2, ""out_of_range_indices"": 150, ""text_mismatch"": 3186}","{""length"": 123, ""stop"": 877}"
trendyol-llm-7b-chat-v4.1.0,one-shot,2401,1000,1000,0,857,102,144,"{""invalid_label"": 456, ""missing_fields"": 2, ""out_of_range_indices"": 175, ""text_mismatch"": 2877}","{""length"": 144, ""stop"": 856}"
trendyol-llm-7b-chat-v4.1.0,one-shot,42,1000,1000,0,671,301,329,"{""invalid_label"": 269, ""out_of_range_indices"": 13, ""text_mismatch"": 791}","{""length"": 329, ""stop"": 671}"
trendyol-llm-7b-chat-v4.1.0,three-shot,1771,1000,1000,0,882,61,119,"{""invalid_label"": 299, ""missing_fields"": 1, ""out_of_range_indices"": 188, ""text_mismatch"": 3049}","{""length"": 119, ""stop"": 881}"
trendyol-llm-7b-chat-v4.1.0,three-shot,2401,1000,1000,0,743,56,258,"{""invalid_label"": 671, ""out_of_range_indices"": 92, ""text_mismatch"": 2478}","{""length"": 258, ""stop"": 742}"
trendyol-llm-7b-chat-v4.1.0,three-shot,42,1000,1000,0,801,152,201,"{""invalid_label"": 307, ""missing_fields"": 1, ""out_of_range_indices"": 43, ""text_mismatch"": 1527}","{""length"": 201, ""stop"": 799}"
trendyol-llm-7b-chat-v4.1.0,zero-shot,fixed,1000,1000,0,904,481,97,"{""invalid_label"": 90, ""out_of_range_indices"": 22, ""text_mismatch"": 1099}","{""length"": 97, ""stop"": 903}"
